id,user_id,created_by_name,updated_at,created_at,active,type,event_id,event_at
564,934,David Smith MD,2023-10-23 23:27:57,2023-10-23 23:10:54,False,card,d2880554-55e9-48ba-a264-a3dd1d108f4b,2023-10-23 23:27:57
1494,240,Kenneth Calderon,2023-10-23 23:15:24,2023-10-23 23:14:13,True,card,acbcfe33-dfad-4400-bfa7-841d62e427c4,2023-10-23 23:15:24
3251,44,James Barrera,2023-10-23 23:25:10,2023-10-23 23:20:35,True,card,bf4b23f6-5f5f-42f1-8907-8f4bdaf79a44,2023-10-23 23:25:10
463,552,Wesley Thomas,2023-10-23 23:14:11,2023-10-23 23:10:32,False,card,2adff73b-c389-444c-a1bc-d4203af15fe2,2023-10-23 23:14:11
2388,209,Aaron Williams,2023-10-23 23:25:21,2023-10-23 23:17:25,False,card,927967de-1777-4188-bf29-ee0a29351f73,2023-10-23 23:25:21
1161,665,Rebecca Carlson,2023-10-23 23:13:15,2023-10-23 23:13:04,False,card,b1eb0039-435a-4a85-990f-d1f266521856,2023-10-23 23:13:15
5937,981,Maureen Oneal,2023-10-23 23:30:17,2023-10-23 23:30:17,False,card,f1dfe164-698a-4df5-8a24-762c95e3fa66,2023-10-23 23:30:17
5833,534,Heather Leon MD,2023-10-23 23:29:52,2023-10-23 23:29:52,False,card,19e42aa1-7fe7-431c-837e-456db7c6273b,2023-10-23 23:29:52
79,829,Charles Brown,2023-10-23 23:09:23,2023-10-23 23:09:10,False,card,12b877a9-70d8-4f7d-92f0-20341224e407,2023-10-23 23:09:23
4700,936,Andrea Allen,2023-10-23 23:25:36,2023-10-23 23:25:36,False,card,606bd239-762c-4792-9484-8cd5cdef495f,2023-10-23 23:25:36
12,95,Stephanie House,2023-10-23 23:09:01,2023-10-23 23:08:53,True,card,78c4cb0d-ef9a-45d4-94d5-b1bb43d83741,2023-10-23 23:09:01
101,617,James Wheeler,2023-10-23 23:14:01,2023-10-23 23:09:15,True,card,7d3db98c-8b72-4dac-bd0b-db5ee709cfc3,2023-10-23 23:14:01
473,83,Sierra Lopez,2023-10-23 23:14:06,2023-10-23 23:10:33,True,card,33978f4e-617d-461a-a73a-e46112c877ff,2023-10-23 23:14:06
1445,244,Ronald Green,2023-10-23 23:20:21,2023-10-23 23:14:03,False,card,0bf790bf-aca8-49ff-adef-d4ab206f7da3,2023-10-23 23:20:21
810,920,Brittany Mora,2023-10-23 23:14:29,2023-10-23 23:11:52,False,card,8d43ce8e-9eed-4d3e-9d74-9ac0030a0c66,2023-10-23 23:14:29
3491,,Sandra Ellis,2023-10-23 23:21:27,2023-10-23 23:21:27,False,card,52ab237a-9b20-447d-b8d6-d7fe60471518,2023-10-23 23:21:27
2123,24,Daniel Schwartz,2023-10-23 23:19:43,2023-10-23 23:16:27,True,card,2e354da9-c0ff-437a-8ecb-c4fac536d645,2023-10-23 23:19:43
279,979,Sandra Campos,2023-10-23 23:13:38,2023-10-23 23:09:52,False,card,efef63ac-0f26-4a8a-afd5-45a4c10f1625,2023-10-23 23:13:38
2578,833,Chad Fuller,2023-10-23 23:29:27,2023-10-23 23:18:05,False,card,393e16d5-fbe2-44c4-a0e1-7d461ccfbf84,2023-10-23 23:29:27
3674,372,Sarah Wade,2023-10-23 23:24:19,2023-10-23 23:22:05,False,card,1e483438-8d7c-41f6-8a7d-64cc192634c1,2023-10-23 23:24:19
1528,81,Brian Sims,2023-10-23 23:14:19,2023-10-23 23:14:19,False,card,15099832-b68b-4a80-9883-0fc44d82ec3a,2023-10-23 23:14:19
205,652,Michael Robinson,2023-10-23 23:26:36,2023-10-23 23:09:37,False,card,f2be9388-802d-4500-816e-268d5df1b650,2023-10-23 23:26:36
1124,282,Paige Lopez,2023-10-23 23:22:55,2023-10-23 23:12:55,True,card,9748f250-37dd-41c1-ab2e-04e50019e3f8,2023-10-23 23:22:55
4111,932,Christopher Lambert,2023-10-23 23:25:55,2023-10-23 23:23:37,False,card,1249a97c-99b7-44ba-8db5-f4322f3dfc60,2023-10-23 23:25:55
2365,628,Jennifer Anderson,2023-10-23 23:17:21,2023-10-23 23:17:21,True,card,5bdf6dff-cb89-487d-9c16-e8636d845ea7,2023-10-23 23:17:21
3419,526,Felicia Lewis,2023-10-23 23:21:11,2023-10-23 23:21:11,True,card,09cb6dfa-e150-4259-9c29-4ee7a48930de,2023-10-23 23:21:11
527,516,Thomas Williams,2023-10-23 23:16:23,2023-10-23 23:10:45,True,card,2ed73d12-8ecb-4e78-94c9-9d2b8a480593,2023-10-23 23:16:23
5569,944,Elizabeth Fisher,2023-10-23 23:28:52,2023-10-23 23:28:52,True,card,169c02fc-4b0c-4f3e-8467-ab47d795e478,2023-10-23 23:28:52
3123,564,Dustin Miller,2023-10-23 23:20:07,2023-10-23 23:20:07,True,card,a6cd011a-6882-44fe-9244-6db38b4e8f88,2023-10-23 23:20:07
78,52,Mitchell Wong,2023-10-23 23:27:36,2023-10-23 23:09:10,True,card,931f0186-1145-4dac-b118-ea6330dac83d,2023-10-23 23:27:36
192,267,Jerry Perez,2023-10-23 23:11:52,2023-10-23 23:09:34,True,card,8b5176c3-be9c-4331-ab56-425f2b1354ef,2023-10-23 23:11:52
169,128,Mary Gomez,2023-10-23 23:09:28,2023-10-23 23:09:28,True,card,2fe5c682-bee7-48c9-90e8-193bcfd31231,2023-10-23 23:09:28
263,739,Ethan Cole,2023-10-23 23:14:01,2023-10-23 23:09:48,False,card,02ef61ad-58d4-4b2b-821f-c389c233511c,2023-10-23 23:14:01
2062,192,Samantha Wagner,2023-10-23 23:16:12,2023-10-23 23:16:12,True,card,5f12ea0a-dd22-4d3e-a28b-25f2c3848ced,2023-10-23 23:16:12
1273,616,Sabrina Ross,2023-10-23 23:13:25,2023-10-23 23:13:25,True,card,a3b59751-59e4-4b64-8368-8d61fbddcd52,2023-10-23 23:13:25
5114,907,Charles Hernandez,2023-10-23 23:27:03,2023-10-23 23:27:03,True,card,2ae04e80-9557-4e4a-a5c9-be7d54cfb56e,2023-10-23 23:27:03
94,669,April Wilson,2023-10-23 23:09:14,2023-10-23 23:09:14,True,card,f49eadbb-8d1f-4801-9098-8a11c5b87bd3,2023-10-23 23:09:14
